gavinshuker,4
Valerie_VazMP,7
SKinnock,3
HollyLynch5,2
MikeKaneMP,8
jreynoldsMP,27
timfarron,14
VirendraSharma,9
RebeccaHarrisMP,20
Bob4Colchester,23
tom_watson,7
coyleneil,51
BobBlackmanMP,17
halfon4harlowMP,45
MarkTamiMP,1
SarahChampionMP,46
DesmondSwayne,1
JimMcGovernMP,1
marion53f,41
PaulMaskeyMP,5
KerryMP,11
lisanandy,2
InverclydeMP,10
SeemaMalhotra1,18
karlmccartney,65
rushanaraali,22
Steven4Stirling,252
JoStevensLabour,75
JohnMannMP,9
tania_mathias,3
NickHarveyND,8
TomBlenkinsop,19
Ed_Miliband,2
DrPhillipLeeMP,1
GavinBarwellMP,2
JBrokenshire,3
claire4devizes,5
stephen_mosley,20
J_Donaldson_MP,1
IanAustinMP,2
RLong_Bailey,2
jc4southsuffolk,2
Margaret_Curran,11
HugoSwire,1
julianknight15,9
timloughton,7
TommySheppard,40
JTomlinsonMP,14
MarkFieldMP,2
ZacGoldsmith,3
michelledonelan,26
JonCruddas_1,5
frankfieldteam,1
Offord4Hendon,5
KarlTurnerMP,213
SimonKirbyMP,2
KevanJonesMP,18
ArklessRichard,74
CliveEfford,14
HarrietHarman,12
JackieDP,4
johnmcdonnellMP,6
HenrySmithMP,29
stellacreasy,35
AlasdairMcD_MP,8
Freeman_George,54
danielbyles,27
PaulBurstow,55
hammersmithandy,60
michaelmeacher,5
cmackinlay,7
lucianaberger,20
AlokSharma_RDG,6
Jeremy_Hunt,10
DanJarvisMP,7
chhcalling,8
GregMulholland1,49
AlanBrownSNP,85
carolinenokes,10
theresecoffey,9
johnpughmp,11
geraldhowarth,1
GordonMarsden,22
lynbrownmp,15
Byron_Davies,15
acarmichaelmp,6
joannaccherry,359
ben4bath,17
mimsdavies,13
JohnHowellMP,3
EmilyThornberry,20
Michael4MDNP,7
JeffSmithetc,25
AndySawfordMP,4
RogerWilliamsLD,3
Nus_Ghani,2
BWallaceMP,2
OwenThompson,30
LSRPlaid,37
PriskMark,9
MartinJDocherty,187
callum_mccaig,107
BrendanOHaraSNP,36
PeterNorthDevon,15
BarrySheerman,34
