Date, Total tweets, Retweets, Mentions, Direct
17:03:00 02 May 2015,1,1
22:22:00 23 Apr 2015,1,1
20:48:00 04 Mar 2015,1
19:33:00 30 Apr 2015,1,1
22:20:00 07 Apr 2015,1,1
19:47:00 05 Apr 2015,1,1
22:29:00 21 Mar 2015,1,1
14:04:00 25 Mar 2015,1,1
07:52:00 25 Apr 2015,1,1
21:05:00 07 Apr 2015,1
11:33:00 16 Mar 2015,1,1
10:21:00 03 May 2015,1,1
13:01:00 16 Mar 2015,1,1
04:30:00 07 May 2015,1
09:22:00 19 Mar 2015,1,1
10:51:00 06 May 2015,1,1
12:06:00 09 Apr 2015,1,1
18:04:00 30 Apr 2015,1,1
06:45:00 07 Apr 2015,1,1
22:48:00 01 Apr 2015,1,1
14:22:00 25 Apr 2015,1,1
07:46:00 03 May 2015,1,1
08:23:00 06 May 2015,1,1
16:10:00 27 Apr 2015,1,1
16:41:00 05 Mar 2015,1,1
13:52:00 04 Apr 2015,1,1
13:46:00 02 Apr 2015,1,1
16:14:00 06 May 2015,1,1
14:46:00 09 Mar 2015,1,1
11:08:00 15 Mar 2015,1,1
18:27:00 21 Mar 2015,1,1
17:04:00 29 Mar 2015,1,1
09:31:00 29 Apr 2015,1,1
20:27:00 24 Apr 2015,1,1
15:56:00 14 Apr 2015,1,1
21:23:00 03 May 2015,1,1
20:00:00 25 Apr 2015,1,1
09:52:00 03 May 2015,1,1
13:33:00 26 Apr 2015,2,2
12:14:00 11 Apr 2015,1,1
11:07:00 22 Mar 2015,1,1
22:38:00 29 Apr 2015,1,1
07:21:00 17 Apr 2015,1,1
20:22:00 05 May 2015,1,1
08:22:00 29 Mar 2015,1,1
16:29:00 21 Mar 2015,2
06:50:00 01 May 2015,1,1
00:02:00 28 Feb 2015,1,1
10:45:00 01 May 2015,1
21:22:00 29 Mar 2015,1,1
15:20:00 02 May 2015,1,1
08:19:00 14 Apr 2015,1,1
16:59:00 06 May 2015,1,1
12:17:00 29 Mar 2015,1,1
13:45:00 15 Mar 2015,1
22:53:00 29 Apr 2015,1,1
15:06:00 09 Apr 2015,1,1
20:31:00 11 Apr 2015,1,1
17:30:00 18 Mar 2015,1,1
13:54:00 30 Apr 2015,1,1
15:31:00 06 Apr 2015,1,1
08:47:00 20 Mar 2015,1
07:01:00 12 Apr 2015,1,1
19:25:00 26 Apr 2015,1,1
05:28:00 28 Mar 2015,1,1
16:45:00 28 Apr 2015,1,1
17:15:00 23 Apr 2015,1
12:42:00 12 Apr 2015,1,1
17:19:00 05 May 2015,1,1
15:05:00 25 Apr 2015,1,1
18:43:00 11 Apr 2015,1,1
10:45:00 28 Mar 2015,1
16:05:00 29 Mar 2015,1,1
08:06:00 10 Apr 2015,1,1
16:07:00 29 Apr 2015,1,1
09:33:00 02 May 2015,1,1
07:30:00 17 Apr 2015,1
13:51:00 15 Mar 2015,1,1
22:36:00 18 Mar 2015,1,1
09:42:00 27 Apr 2015,1,1
08:52:00 20 Mar 2015,1,1
23:40:00 27 Apr 2015,1,1
06:48:00 13 Apr 2015,1,1
11:48:00 01 May 2015,1,1
08:45:00 26 Apr 2015,1,1
22:31:00 08 Apr 2015,1,1
21:14:00 04 May 2015,1,1
10:37:00 12 Apr 2015,1,1
11:54:00 14 Mar 2015,1,1
14:09:00 28 Feb 2015,1,1
14:23:00 15 Apr 2015,1,1
19:28:00 09 Mar 2015,1
09:50:00 21 Mar 2015,1,1
08:12:00 30 Apr 2015,1,1
16:01:00 05 May 2015,1,1
12:46:00 30 Mar 2015,1,1
06:29:00 07 May 2015,1,1
00:19:00 05 Apr 2015,1,1
12:10:00 25 Mar 2015,1,1
13:53:00 30 Mar 2015,1,1
18:09:00 15 Mar 2015,1,1
08:38:00 30 Apr 2015,1
00:03:00 04 Apr 2015,1,1
15:14:00 31 Mar 2015,1,1
22:23:00 12 Apr 2015,1,1
07:37:00 15 Apr 2015,1,1
23:04:00 10 Apr 2015,1,1
22:34:00 19 Mar 2015,1,1
12:38:00 28 Mar 2015,1,1
15:08:00 08 Apr 2015,1,1
18:40:00 04 Apr 2015,1,1
14:03:00 04 May 2015,1,1
10:51:00 16 Apr 2015,1,1
15:38:00 03 Apr 2015,1,1
16:52:00 14 Mar 2015,1,1
21:48:00 31 Mar 2015,1
12:12:00 12 Apr 2015,1,1
12:07:00 24 Apr 2015,1,1
19:36:00 28 Mar 2015,1,1
17:57:00 25 Apr 2015,1,1
07:55:00 03 May 2015,1,1
11:30:00 01 May 2015,1,1
19:21:00 06 Mar 2015,1,1
20:08:00 17 Mar 2015,1,1
21:09:00 25 Apr 2015,1,1
14:15:00 28 Mar 2015,1
14:31:00 18 Mar 2015,1,1
07:29:00 28 Apr 2015,1,1
15:19:00 05 May 2015,1,1
12:03:00 04 May 2015,1,1
12:13:00 29 Apr 2015,1,1
21:24:00 08 Apr 2015,1,1
20:24:00 09 Apr 2015,1
09:12:00 06 May 2015,1,1
13:52:00 08 Apr 2015,1,1
18:09:00 07 May 2015,1,1
19:44:00 10 Apr 2015,1,1
19:43:00 30 Mar 2015,1,1
01:41:00 02 Mar 2015,1
10:17:00 07 May 2015,1,1
12:04:00 25 Apr 2015,1,1,1
00:37:00 28 Feb 2015,1,1
15:40:00 25 Mar 2015,1,1
11:30:00 30 Mar 2015,1,1
16:29:00 20 Mar 2015,1,1
13:27:00 21 Mar 2015,1,1
21:11:00 01 Apr 2015,1,1
12:16:00 28 Mar 2015,1,1
19:04:00 04 May 2015,1,1
16:35:00 29 Apr 2015,1,1
09:43:00 07 Apr 2015,1
16:51:00 02 May 2015,1,1
08:05:00 11 Apr 2015,1,1
18:05:00 31 Mar 2015,1,1
15:45:00 15 Apr 2015,1,1
12:19:00 15 Apr 2015,1,1
