username,TweetsMade,RetweetsRecieved,MentionsMade,MentionsRecived,ReferralsMade,ReferralSource,ReferralSourceMade
DanSandersonHT,0,1,0,0,0,FALSE,0
GailLythgoe,0,1,0,0,0,FALSE,0
cerysfurlong,0,1,0,0,0,FALSE,0
Lizzzzz_E,0,1,0,0,0,FALSE,0
RupertMyers,0,2,0,0,0,FALSE,0
HMThompson_,0,1,0,0,0,FALSE,0
BenPindar,0,1,0,0,0,FALSE,0
mrs_bremner,0,1,0,0,0,FALSE,0
luke_o_reilly,0,1,0,0,0,FALSE,0
MartinLulham,0,1,0,0,0,FALSE,0
PinkCatJo,0,1,0,0,0,FALSE,0
